voucher_id,voucher_code,campaign_name,discount_type,discount_value,target_group,user_id,user_age,is_student,issued_at,expires_at,is_used,used_at,spending_monthly,days_since_last_login,wallet_balance
23,LUCKY-002A188E,Back to School,Fixed,10000,All,319,26,0,2025-02-01,2025-02-15,0,,1405.51,33,348.47
24,LUCKY-EA8FEDC3,Welcome Back,Percent,20,All,225,23,0,2025-06-10,2025-06-17,0,,331.87,33,252.5
25,LUCKY-52F14C96,Back to School,Percent,50,All,60,42,0,2025-02-05,2025-02-19,0,,744.53,83,984.66
26,LUCKY-03C9A332,Birthday Bonus,Percent,50,All,251,43,0,2025-11-28,2025-12-12,1,2025-12-07,1195.8,77,308.73
27,LUCKY-6F95D18B,Birthday Bonus,Percent,10,Student,380,16,1,2025-11-09,2025-11-16,0,,91.53,35,84.72
28,LUCKY-1CE07848,Flash Sale SV,Percent,30,Student,221,22,1,2025-10-18,2025-10-25,0,,302.41,88,22.37
29,LUCKY-51F72BEC,Summer Gift,Fixed,10000,Student,453,20,1,2025-06-25,2025-07-25,0,,214.09,5,186.62
30,LUCKY-BC48AE0B,Refer a Friend SV,Percent,15,All,343,39,0,2025-12-11,2025-12-25,1,2025-12-24,1549.06,30,929.48
31,LUCKY-1A6DB0DB,Flash Sale SV,Percent,25,All,180,45,0,2025-04-07,2025-04-21,0,,646.7,89,201.24
32,LUCKY-27B41EC6,Welcome Back,Fixed,20000,Student,261,19,1,2025-05-12,2025-06-11,0,,150.32,51,132.01
33,LUCKY-35519F48,Back to School,Percent,30,Student,403,24,1,2025-10-14,2025-10-28,1,2025-10-26,199.02,33,5.52
34,LUCKY-C83CF9EC,Refer a Friend SV,Fixed,5000,Student,378,24,1,2025-09-22,2025-10-22,1,2025-10-04,102.04,24,179.9
35,LUCKY-B7D5E32A,Back to School,Fixed,5000,Student,207,21,1,2025-11-14,2025-11-28,0,,244.08,42,189.77
36,LUCKY-859A7BC4,Back to School,Percent,30,Student,108,24,1,2025-01-10,2025-01-24,0,,107.28,48,84.09
37,LUCKY-76D0D268,Welcome Back,Fixed,10000,Student,48,21,1,2025-11-21,2025-12-21,1,2025-11-27,259.24,27,88.43
38,LUCKY-45F3679A,Flash Sale SV,Percent,10,All,213,44,0,2025-08-20,2025-08-27,1,2025-08-28,622.76,25,344.9
39,LUCKY-6B24BCDC,Tet Student,Fixed,10000,All,399,38,0,2025-01-25,2025-02-01,0,,549.98,63,711.54
40,LUCKY-1E350528,Summer Gift,Percent,30,Student,411,18,1,2025-02-15,2025-02-22,0,,411.85,59,139.18
41,LUCKY-F7F54C9D,Tet Student,Fixed,50000,Student,385,24,1,2025-08-15,2025-08-29,0,,494.55,56,119.09
42,LUCKY-316167C1,Weekend Deal,Percent,20,Student,164,20,1,2025-05-08,2025-05-22,1,2025-05-14,394.62,80,104.26
43,LUCKY-D9FF4F8D,Summer Gift,Percent,50,All,213,22,0,2025-07-11,2025-08-10,1,2025-07-19,449.07,88,269.7
44,LUCKY-CBD262AE,Refer a Friend SV,Percent,30,Student,437,22,1,2025-06-10,2025-06-24,0,,225.26,89,153.96
45,LUCKY-6F837EE7,Summer Gift,Percent,25,All,343,33,0,2025-08-01,2025-08-15,1,2025-08-07,1168.8,77,747.9
46,LUCKY-CBE3A86A,Flash Sale SV,Percent,25,Student,26,22,1,2025-07-05,2025-07-19,1,2025-07-08,375.88,16,168.1
47,LUCKY-C5E6C451,Back to School,Fixed,50000,Student,277,21,1,2025-08-01,2025-08-31,0,,145.25,48,65.37
48,LUCKY-2EA23897,Summer Gift,Percent,10,Student,65,21,1,2025-01-20,2025-01-27,1,2025-01-24,150.9,83,13.72
49,LUCKY-FC6DE919,Tet Student,Fixed,20000,Student,399,17,1,2025-12-23,2025-12-30,0,,303.79,89,43.59
50,LUCKY-83694573,Summer Gift,Fixed,50000,All,53,29,0,2025-12-27,2026-01-26,1,2025-12-31,394.58,39,74.39
51,LUCKY-49EFF381,Refer a Friend SV,Percent,20,Student,175,20,1,2025-02-17,2025-03-19,0,,432.63,15,120.08
52,LUCKY-1C3399A2,Refer a Friend SV,Fixed,10000,Student,414,22,1,2025-09-21,2025-10-05,1,2025-10-01,420.05,46,21.11
53,LUCKY-2CC321C7,Summer Gift,Fixed,20000,All,125,44,0,2025-02-09,2025-02-23,0,,1070.3,75,463.8
54,LUCKY-D756CD21,Tet Student,Fixed,20000,All,175,38,0,2025-06-26,2025-07-10,0,,1298.6,3,410.04
55,LUCKY-016A5DDB,Refer a Friend SV,Percent,15,Student,331,20,1,2025-04-23,2025-05-07,0,,300.11,24,103.33
56,LUCKY-6FF81AFD,Back to School,Fixed,10000,All,272,34,0,2025-06-16,2025-07-16,0,,1627.28,28,138.4
57,LUCKY-9208E24B,Summer Gift,Fixed,20000,Student,275,24,1,2025-04-11,2025-04-18,1,2025-04-23,198.86,34,140.57
58,LUCKY-11343334,Welcome Back,Fixed,20000,All,92,42,0,2025-05-08,2025-05-22,0,,533.27,61,255.57
59,LUCKY-132D349A,Weekend Deal,Fixed,10000,Student,246,24,1,2025-01-19,2025-02-02,1,2025-01-27,106.96,6,9.1
60,LUCKY-71DFDF33,Refer a Friend SV,Percent,10,Student,28,18,1,2025-10-21,2025-11-20,0,,484.47,61,50.5
61,LUCKY-F529145B,Refer a Friend SV,Fixed,10000,Student,220,20,1,2025-08-10,2025-09-09,0,,88.33,71,49.64
62,LUCKY-36DA6FEE,Welcome Back,Percent,20,Student,2,16,1,2025-03-18,2025-03-25,1,2025-03-21,324.33,26,148.02
63,LUCKY-DE85684C,Welcome Back,Fixed,50000,Student,302,23,1,2025-05-26,2025-06-25,0,,181.07,90,46.3
64,LUCKY-8AD84651,Tet Student,Percent,20,Student,384,19,1,2025-03-26,2025-04-09,1,2025-04-05,241.31,82,108.91
65,LUCKY-8123F273,Weekend Deal,Fixed,20000,All,377,29,0,2025-10-02,2025-10-16,0,,990.48,38,495.26
66,LUCKY-7B0D24A9,Back to School,Percent,50,Student,334,20,1,2025-03-16,2025-04-15,0,,61.64,86,45.78
67,LUCKY-62EEC92F,Weekend Deal,Fixed,5000,Student,440,20,1,2025-06-11,2025-07-11,1,2025-06-13,131.67,81,117.07
68,LUCKY-EBFAD797,Welcome Back,Percent,25,Student,264,22,1,2025-06-04,2025-06-18,1,2025-06-18,362.15,51,57.64
69,LUCKY-A419C16F,Birthday Bonus,Percent,15,All,390,20,0,2025-08-21,2025-09-04,0,,1383.79,52,565.46
70,LUCKY-03072FF7,Flash Sale SV,Fixed,5000,Student,364,20,1,2025-10-26,2025-11-02,0,,297.15,56,185.53
71,LUCKY-382814EC,Welcome Back,Percent,25,Student,150,24,1,2025-03-16,2025-04-15,0,,56.15,28,81.6
72,LUCKY-31A11341,Tet Student,Percent,25,Student,443,20,1,2025-10-17,2025-11-16,1,2025-10-20,236.97,60,96.5
73,LUCKY-7418661D,Back to School,Percent,20,Student,444,22,1,2025-10-22,2025-11-05,0,,202.94,34,157.54
74,LUCKY-C1F88B38,Birthday Bonus,Fixed,50000,Student,197,24,1,2025-12-08,2026-01-07,0,,267.95,69,66.49
75,LUCKY-DCBB68CF,Tet Student,Fixed,50000,Student,495,22,1,2025-01-05,2025-02-04,0,,69.64,90,148.94
76,LUCKY-A9AE4EC7,Tet Student,Fixed,5000,Student,241,17,1,2025-11-05,2025-11-12,0,,443.39,67,88.06
77,LUCKY-B0BEA033,Refer a Friend SV,Percent,20,All,447,28,0,2025-11-23,2025-12-07,0,,809.41,83,708.07
78,LUCKY-24C6963A,Welcome Back,Percent,50,Student,361,17,1,2025-02-25,2025-03-27,0,,155.65,36,136.88
79,LUCKY-B18C1C1D,Flash Sale SV,Percent,20,All,272,34,0,2025-06-14,2025-06-21,1,2025-06-18,499.46,3,334.49
80,LUCKY-DEDDDB3F,Tet Student,Percent,25,Student,342,18,1,2025-11-09,2025-11-23,1,2025-11-14,126.49,48,15.79
81,LUCKY-00D92A2D,Birthday Bonus,Percent,25,Student,354,23,1,2025-05-21,2025-06-04,0,,455.54,20,135.52
82,LUCKY-AABF46A9,Refer a Friend SV,Percent,15,Student,152,20,1,2025-10-10,2025-11-09,0,,139.65,61,76.94
83,LUCKY-F7F77043,Weekend Deal,Percent,30,Student,311,22,1,2025-05-25,2025-06-01,0,,173.52,87,113.19
84,LUCKY-C134DEF4,Welcome Back,Percent,50,All,404,27,0,2025-11-02,2025-11-16,0,,1345.91,86,639.85
85,LUCKY-0B125A6B,Tet Student,Fixed,50000,Student,468,21,1,2025-09-12,2025-10-12,1,2025-09-21,379.56,37,18.03
86,LUCKY-CB78A9AA,Welcome Back,Fixed,20000,Student,441,18,1,2025-02-05,2025-02-12,0,,165.64,61,164.94
87,LUCKY-B291EF15,Flash Sale SV,Percent,25,Student,384,22,1,2025-02-15,2025-03-01,1,2025-02-26,485.27,46,160.92
88,LUCKY-03A9C7E8,Flash Sale SV,Percent,25,Student,114,22,1,2025-09-11,2025-10-11,0,,420.09,13,188.06
89,LUCKY-7C79F21B,Flash Sale SV,Percent,15,Student,50,23,1,2025-05-16,2025-05-23,0,,459.22,52,60.44
90,LUCKY-1DDBA5B1,Refer a Friend SV,Fixed,10000,Student,481,24,1,2025-08-20,2025-09-03,0,,111.05,85,90.73
91,LUCKY-01A68AFE,Welcome Back,Percent,20,All,184,21,0,2025-06-18,2025-07-18,0,,1442.51,56,256.41
92,LUCKY-1F34A5EA,Summer Gift,Percent,50,Student,403,20,1,2025-10-01,2025-10-08,0,,135.41,58,24.43
93,LUCKY-9F905B0D,Summer Gift,Percent,30,Student,404,18,1,2025-04-11,2025-04-18,0,,404.14,70,41.04
94,LUCKY-FC07025A,Welcome Back,Fixed,10000,All,184,20,0,2025-01-05,2025-01-12,0,,699.09,16,984.83
95,LUCKY-A02BA6BC,Refer a Friend SV,Percent,15,All,230,27,0,2025-12-03,2025-12-17,0,,1259.94,33,64.99
96,LUCKY-5C0CFCC4,Back to School,Percent,50,All,434,36,0,2025-01-02,2025-01-16,0,,1268.6,28,479.41
97,LUCKY-C0B047DC,Tet Student,Percent,20,Student,281,17,1,2025-05-20,2025-06-19,1,2025-05-30,270.62,9,181.94
98,LUCKY-AD22789C,Welcome Back,Fixed,5000,All,370,32,0,2025-11-25,2025-12-25,0,,1990.33,58,554.03
99,LUCKY-9D6425B9,Refer a Friend SV,Fixed,50000,All,341,33,0,2025-06-14,2025-06-28,0,,1012.8,43,267.07
100,LUCKY-B9FD3D2A,Refer a Friend SV,Percent,10,Student,31,18,1,2025-12-12,2025-12-19,1,2025-12-21,359.07,11,94.85
101,LUCKY-70274426,Flash Sale SV,Fixed,50000,Student,54,24,1,2025-10-10,2025-10-24,0,,302.76,52,134.0
102,LUCKY-514E4B97,Welcome Back,Fixed,20000,Student,433,19,1,2025-10-08,2025-10-22,0,,119.63,13,96.44
103,LUCKY-C07775C7,Tet Student,Fixed,5000,Student,93,24,1,2025-05-11,2025-05-25,1,2025-05-12,61.81,88,185.82
104,LUCKY-E71DE274,Summer Gift,Percent,10,All,160,38,0,2025-08-11,2025-08-18,1,2025-08-17,1383.22,81,116.11
105,LUCKY-53BE4B58,Flash Sale SV,Percent,15,All,218,44,0,2025-05-15,2025-06-14,0,,1894.53,6,616.41
106,LUCKY-B8067536,Refer a Friend SV,Percent,20,Student,270,23,1,2025-11-22,2025-12-22,1,2025-11-30,236.38,65,43.11
107,LUCKY-0B9394D8,Back to School,Percent,15,Student,149,16,1,2025-03-25,2025-04-08,0,,149.23,7,196.89
108,LUCKY-E907C6CB,Birthday Bonus,Fixed,10000,Student,236,16,1,2025-12-02,2025-12-16,1,2025-12-03,273.82,16,86.13
109,LUCKY-132A0C15,Welcome Back,Fixed,20000,All,236,30,0,2025-06-06,2025-07-06,0,,1236.37,90,594.73
110,LUCKY-3EF86A56,Welcome Back,Fixed,50000,All,171,31,0,2025-05-24,2025-06-07,1,2025-05-28,358.63,31,852.26
111,LUCKY-8EC7FA02,Birthday Bonus,Percent,20,All,121,22,0,2025-11-27,2025-12-04,0,,1118.87,65,158.33
112,LUCKY-1C6303C1,Weekend Deal,Percent,15,Student,230,20,1,2025-10-25,2025-11-24,0,,138.77,83,120.48
113,LUCKY-C38DFB34,Weekend Deal,Fixed,5000,Student,303,21,1,2025-05-26,2025-06-09,0,,438.91,19,125.44
114,LUCKY-BDA87E29,Back to School,Percent,20,Student,197,24,1,2025-02-20,2025-03-22,1,2025-03-01,83.39,4,92.35
115,LUCKY-3589F806,Birthday Bonus,Fixed,10000,Student,231,24,1,2025-09-05,2025-09-12,0,,479.4,5,147.78
116,LUCKY-CF2B73BD,Summer Gift,Percent,10,Student,313,21,1,2025-08-17,2025-09-16,0,,492.07,82,16.87
117,LUCKY-F3460A22,Birthday Bonus,Percent,50,Student,146,21,1,2025-02-18,2025-03-20,1,2025-02-25,463.07,43,77.48
118,LUCKY-5F3A50FF,Refer a Friend SV,Fixed,20000,Student,193,18,1,2025-12-03,2025-12-17,1,2025-12-12,200.01,18,116.55
119,LUCKY-0A274014,Refer a Friend SV,Percent,50,Student,93,21,1,2025-01-12,2025-01-26,0,,415.93,87,134.02
120,LUCKY-8E198AC2,Welcome Back,Percent,15,All,379,30,0,2025-02-17,2025-03-19,1,2025-03-03,1905.8,28,511.96
121,LUCKY-703063E8,Refer a Friend SV,Percent,30,All,320,21,0,2025-03-27,2025-04-26,1,2025-04-09,1391.47,79,882.57
122,LUCKY-09C9CDDF,Back to School,Percent,25,All,123,25,0,2025-08-08,2025-09-07,0,,1498.13,46,91.51
123,LUCKY-56C0E8D4,Back to School,Fixed,50000,Student,495,23,1,2025-09-17,2025-10-01,0,,456.79,86,38.8
124,LUCKY-05A83746,Weekend Deal,Percent,50,Student,434,19,1,2025-09-04,2025-10-04,0,,410.57,32,27.68
125,LUCKY-DB2EBE40,Refer a Friend SV,Fixed,10000,Student,477,17,1,2025-04-27,2025-05-11,1,2025-05-03,178.28,34,152.62
126,LUCKY-376EAAA5,Summer Gift,Percent,20,Student,172,16,1,2025-02-27,2025-03-29,1,2025-03-10,228.4,49,74.79
127,LUCKY-B6658A7F,Weekend Deal,Percent,50,All,132,24,0,2025-01-03,2025-01-10,0,,268.95,60,921.53
128,LUCKY-74A10F20,Back to School,Fixed,5000,Student,328,18,1,2025-02-02,2025-02-09,1,2025-02-09,296.96,67,145.45
129,LUCKY-910D92C8,Summer Gift,Percent,50,All,315,34,0,2025-05-14,2025-05-21,0,,313.05,63,844.85
130,LUCKY-4602447C,Flash Sale SV,Fixed,5000,Student,192,22,1,2025-08-02,2025-09-01,1,2025-08-09,134.29,67,133.64
131,LUCKY-D09B4E4E,Birthday Bonus,Percent,30,Student,330,16,1,2025-06-18,2025-07-02,1,2025-07-02,210.69,30,13.51
132,LUCKY-D00ADC81,Weekend Deal,Percent,10,Student,162,23,1,2025-04-02,2025-04-09,1,2025-04-03,491.37,23,95.71
133,LUCKY-CCE26FEC,Summer Gift,Fixed,5000,All,140,36,0,2025-01-28,2025-02-27,1,2025-02-03,916.8,60,824.64
134,LUCKY-6E8206E2,Tet Student,Fixed,20000,Student,137,21,1,2025-08-12,2025-09-11,0,,246.63,56,80.0
135,LUCKY-83ECDB6E,Welcome Back,Fixed,20000,All,309,43,0,2025-11-10,2025-11-24,1,2025-11-18,964.1,23,459.08
136,LUCKY-406AA71C,Back to School,Fixed,50000,All,327,25,0,2025-01-03,2025-02-02,0,,1441.58,5,383.97
137,LUCKY-80EDE659,Weekend Deal,Percent,30,Student,186,24,1,2025-02-08,2025-03-10,1,2025-02-14,410.49,3,135.88
138,LUCKY-2467390C,Welcome Back,Fixed,50000,Student,161,16,1,2025-09-12,2025-09-26,0,,322.29,47,135.81
139,LUCKY-9705D60F,Welcome Back,Fixed,50000,Student,314,19,1,2025-05-23,2025-06-06,1,2025-05-27,482.23,23,5.18
140,LUCKY-F453A4E9,Weekend Deal,Fixed,10000,Student,342,23,1,2025-11-28,2025-12-12,0,,140.08,9,27.15
141,LUCKY-2A94D243,Tet Student,Percent,50,Student,103,17,1,2025-09-08,2025-09-15,0,,297.5,38,58.07
142,LUCKY-D09DD7AD,Tet Student,Fixed,50000,All,204,27,0,2025-02-03,2025-02-17,0,,1622.67,70,74.97
143,LUCKY-BCD4F390,Birthday Bonus,Percent,15,All,265,43,0,2025-08-15,2025-09-14,0,,1061.6,52,440.26
144,LUCKY-C1572CF8,Welcome Back,Fixed,5000,Student,166,24,1,2025-05-06,2025-05-13,0,,337.91,16,36.39
145,LUCKY-97E5AE00,Summer Gift,Percent,20,All,321,27,0,2025-09-09,2025-09-16,0,,822.84,36,943.86
146,LUCKY-14E1AC9F,Birthday Bonus,Percent,15,Student,42,24,1,2025-10-02,2025-10-09,0,,92.04,75,128.2
147,LUCKY-C2185FFA,Back to School,Percent,25,Student,413,20,1,2025-05-16,2025-05-23,0,,343.01,53,153.39
148,LUCKY-BEA10981,Refer a Friend SV,Percent,25,All,74,32,0,2025-04-11,2025-05-11,0,,735.38,7,119.32
149,LUCKY-86E0EE94,Welcome Back,Percent,20,Student,127,21,1,2025-08-04,2025-08-18,1,2025-08-12,380.39,51,172.16
150,LUCKY-52842D76,Tet Student,Fixed,10000,Student,98,16,1,2025-10-24,2025-11-07,0,,180.6,78,76.83
151,LUCKY-8E347F89,Welcome Back,Fixed,5000,All,111,35,0,2025-09-15,2025-09-22,0,,1992.74,39,493.47
152,LUCKY-F54B5BB3,Flash Sale SV,Fixed,20000,Student,373,16,1,2025-07-05,2025-07-19,0,,72.74,83,98.98
153,LUCKY-9CBA31DD,Back to School,Percent,20,Student,423,22,1,2025-09-15,2025-10-15,1,2025-09-20,214.67,72,80.12
154,LUCKY-62ED3B67,Birthday Bonus,Fixed,20000,All,102,41,0,2025-06-25,2025-07-02,0,,1299.88,12,172.23
155,LUCKY-A74B5099,Weekend Deal,Fixed,50000,Student,164,22,1,2025-09-05,2025-09-19,1,2025-09-15,275.04,17,9.06
156,LUCKY-99CA5F91,Weekend Deal,Fixed,20000,Student,57,20,1,2025-06-11,2025-07-11,0,,317.18,65,101.46
157,LUCKY-8F8348DA,Weekend Deal,Percent,30,All,117,38,0,2025-11-26,2025-12-26,1,2025-12-06,753.82,88,903.83
158,LUCKY-172995F2,Summer Gift,Fixed,10000,All,226,38,0,2025-12-04,2025-12-11,1,2025-12-05,1064.81,79,548.02
159,LUCKY-75816143,Tet Student,Fixed,5000,Student,245,18,1,2025-09-11,2025-10-11,0,,235.83,64,40.78
160,LUCKY-2F1F9AAD,Back to School,Fixed,20000,Student,286,21,1,2025-04-08,2025-04-22,0,,480.51,68,91.93
161,LUCKY-65915126,Weekend Deal,Fixed,20000,Student,294,20,1,2025-12-09,2025-12-23,1,2025-12-11,397.03,88,140.98
162,LUCKY-9F6491DB,Flash Sale SV,Percent,20,Student,336,22,1,2025-12-03,2025-12-17,1,2025-12-11,453.09,44,78.91
163,LUCKY-CA999906,Welcome Back,Fixed,10000,Student,26,23,1,2025-10-08,2025-10-15,0,,146.29,34,165.59
164,LUCKY-39AA449D,Weekend Deal,Fixed,20000,Student,209,24,1,2025-03-01,2025-03-31,1,2025-03-04,151.55,12,46.57
165,LUCKY-ABFCF953,Flash Sale SV,Fixed,20000,Student,119,23,1,2025-02-21,2025-03-23,0,,264.85,36,39.89
166,LUCKY-F95B19C2,Weekend Deal,Percent,25,Student,5,16,1,2025-12-28,2026-01-11,1,2025-12-29,460.95,22,35.01
167,LUCKY-5B2FA30C,Weekend Deal,Fixed,10000,Student,235,17,1,2025-02-11,2025-02-18,1,2025-02-23,467.8,58,67.01
168,LUCKY-853F5673,Refer a Friend SV,Percent,15,Student,206,18,1,2025-09-11,2025-09-18,0,,56.34,37,67.42
169,LUCKY-82F817BC,Refer a Friend SV,Percent,20,Student,371,18,1,2025-05-11,2025-05-25,1,2025-05-21,491.76,31,95.49
170,LUCKY-20B97FBB,Back to School,Percent,25,Student,160,20,1,2025-11-17,2025-12-17,1,2025-11-30,344.16,7,138.55
171,LUCKY-B2CC199D,Weekend Deal,Fixed,10000,Student,360,20,1,2025-10-12,2025-10-26,0,,215.39,17,44.17
172,LUCKY-53CCD0BB,Welcome Back,Percent,50,Student,40,23,1,2025-09-23,2025-10-07,0,,390.81,27,160.4
173,LUCKY-E1485579,Tet Student,Percent,30,All,106,23,0,2025-09-15,2025-09-22,1,2025-09-26,311.16,64,570.27
174,LUCKY-18372E24,Refer a Friend SV,Fixed,10000,All,345,35,0,2025-01-18,2025-02-01,0,,363.69,7,534.86
175,LUCKY-A4D92700,Welcome Back,Percent,30,All,31,43,0,2025-06-23,2025-06-30,1,2025-07-02,239.19,0,291.73
176,LUCKY-0FEAD3FC,Tet Student,Fixed,10000,All,192,22,0,2025-12-21,2026-01-04,0,,1975.05,36,498.47
177,LUCKY-DC926E42,Tet Student,Fixed,5000,All,276,32,0,2025-06-04,2025-06-11,0,,1007.37,48,921.26
178,LUCKY-6B0A7F83,Weekend Deal,Percent,20,Student,195,18,1,2025-09-14,2025-10-14,0,,377.54,0,44.54
179,LUCKY-7F132B02,Refer a Friend SV,Percent,10,All,35,27,0,2025-01-08,2025-01-15,0,,1029.13,24,197.37
180,LUCKY-63F3F9AE,Flash Sale SV,Percent,50,Student,387,16,1,2025-04-18,2025-04-25,0,,250.9,6,134.4
181,LUCKY-C0FCBDF3,Summer Gift,Fixed,20000,All,212,21,0,2025-03-22,2025-04-21,1,2025-03-26,452.24,29,993.81
182,LUCKY-6579ACC7,Flash Sale SV,Fixed,50000,Student,403,16,1,2025-11-22,2025-12-06,0,,300.52,22,118.33
183,LUCKY-C5B028A2,Summer Gift,Fixed,10000,Student,288,22,1,2025-12-05,2025-12-19,1,2025-12-06,233.72,23,59.98
184,LUCKY-06B771BC,Birthday Bonus,Fixed,10000,Student,48,22,1,2025-08-28,2025-09-11,0,,300.78,31,26.82
185,LUCKY-7A7EE804,Summer Gift,Percent,10,Student,287,19,1,2025-10-24,2025-11-23,0,,73.19,77,75.43
186,LUCKY-D24BB28C,Welcome Back,Percent,15,Student,310,19,1,2025-08-08,2025-09-07,0,,441.26,1,66.59
187,LUCKY-C195428B,Birthday Bonus,Fixed,50000,All,51,32,0,2025-06-17,2025-07-01,1,2025-06-25,1847.23,36,574.48
188,LUCKY-DE6D6DD4,Refer a Friend SV,Fixed,20000,All,134,43,0,2025-04-24,2025-05-01,1,2025-04-25,1045.08,26,847.74
189,LUCKY-36B0109F,Weekend Deal,Fixed,10000,Student,391,22,1,2025-11-11,2025-11-25,0,,182.84,29,39.24
190,LUCKY-91DBC05B,Tet Student,Fixed,10000,All,329,43,0,2025-08-06,2025-09-05,0,,1355.05,21,516.07
191,LUCKY-EDE8682C,Refer a Friend SV,Percent,10,All,78,36,0,2025-11-08,2025-11-15,1,2025-11-20,260.88,85,854.36
192,LUCKY-47BD9E99,Flash Sale SV,Fixed,50000,Student,272,24,1,2025-09-14,2025-09-21,1,2025-09-15,255.2,81,12.09
193,LUCKY-CF8E5ED5,Welcome Back,Fixed,10000,All,99,37,0,2025-09-05,2025-09-12,0,,1959.46,89,66.29
194,LUCKY-9F159358,Refer a Friend SV,Percent,20,Student,154,20,1,2025-04-23,2025-04-30,0,,416.85,50,53.46
195,LUCKY-2E7E7326,Refer a Friend SV,Percent,25,Student,360,17,1,2025-08-02,2025-09-01,1,2025-08-03,344.18,4,171.64
196,LUCKY-27314657,Flash Sale SV,Percent,30,Student,24,23,1,2025-12-19,2026-01-02,1,2025-12-24,430.4,42,128.98
197,LUCKY-E89E1340,Birthday Bonus,Percent,15,All,421,41,0,2025-04-19,2025-04-26,1,2025-05-02,1866.05,72,904.35
198,LUCKY-ECE9855C,Refer a Friend SV,Percent,30,All,387,32,0,2025-09-11,2025-09-25,0,,1871.97,72,334.31
199,LUCKY-8D110487,Welcome Back,Fixed,5000,All,394,45,0,2025-02-11,2025-03-13,0,,1979.26,64,737.96
200,LUCKY-9951FECC,Weekend Deal,Fixed,50000,Student,349,22,1,2025-09-13,2025-09-27,1,2025-09-16,486.01,81,65.28
201,LUCKY-13FCD569,Back to School,Percent,10,Student,379,22,1,2025-12-26,2026-01-25,1,2025-12-29,88.56,31,123.72
202,LUCKY-692621A2,Back to School,Fixed,20000,Student,286,21,1,2025-02-06,2025-02-20,1,2025-02-14,97.95,39,1.04
203,LUCKY-0AAE58B3,Birthday Bonus,Percent,30,Student,199,22,1,2025-01-10,2025-01-24,0,,96.48,70,17.92
204,LUCKY-A726AAA1,Refer a Friend SV,Percent,50,All,75,43,0,2025-05-10,2025-05-24,1,2025-05-18,1822.04,31,909.95
