transaction_id,date,customer_id,product_name,category,quantity,unit_price,total_amount
TXN011,2025-01-25,CUST008,Hoa Hồng Virtual,Hoa,1,45000,45000
TXN011,2025-01-25,CUST008,Thiệp Chúc Mừng Sinh Nhật,Thiệp,1,25000,25000
TXN012,2025-01-28,CUST004,Bóng Bay Virtual,Trang Trí,5,15000,75000
TXN012,2025-01-28,CUST004,Pháo Hoa 3D Effect,Hiệu Ứng,1,35000,35000
TXN013,2025-02-01,CUST009,Hoa Hồng Virtual,Hoa,2,45000,90000
TXN013,2025-02-01,CUST009,Socola Virtual Box,Socola,1,65000,65000
TXN013,2025-02-01,CUST009,Thiệp Valentine,Thiệp,1,30000,30000
TXN014,2025-02-05,CUST010,Gấu Bông AR,Thú Nhồi Bông,1,120000,120000
TXN014,2025-02-05,CUST010,Hoa Hồng Virtual,Hoa,1,45000,45000
TXN014,2025-02-05,CUST010,Pháo Hoa 3D Effect,Hiệu Ứng,1,35000,35000
TXN015,2025-02-08,CUST001,Thiệp Valentine,Thiệp,2,30000,60000
TXN015,2025-02-08,CUST001,Hoa Hồng Virtual,Hoa,3,45000,135000
TXN015,2025-02-08,CUST001,Socola Virtual Box,Socola,2,65000,130000
TXN016,2025-02-10,CUST005,Nhẫn AR Magic,Phụ Kiện,1,150000,150000
TXN016,2025-02-10,CUST005,Hoa Hồng Virtual,Hoa,1,45000,45000
TXN017,2025-02-12,CUST011,Thiệp Chúc Mừng Sinh Nhật,Thiệp,1,25000,25000
TXN017,2025-02-12,CUST011,Bóng Bay Virtual,Trang Trí,3,15000,45000
TXN017,2025-02-12,CUST011,Pháo Hoa 3D Effect,Hiệu Ứng,1,35000,35000
TXN018,2025-02-14,CUST002,Hoa Hồng Virtual,Hoa,5,45000,225000
TXN018,2025-02-14,CUST002,Socola Virtual Box,Socola,2,65000,130000
TXN018,2025-02-14,CUST002,Thiệp Valentine,Thiệp,1,30000,30000
TXN018,2025-02-14,CUST002,Gấu Bông AR,Thú Nhồi Bông,1,120000,120000
TXN019,2025-02-16,CUST012,Vương Miện AR,Phụ Kiện,1,85000,85000
TXN019,2025-02-16,CUST012,Pháo Hoa 3D Effect,Hiệu Ứng,1,35000,35000
TXN019,2025-02-16,CUST012,Thiệp Chúc Mừng Sinh Nhật,Thiệp,1,25000,25000
TXN020,2025-02-20,CUST003,Hoa Hồng Virtual,Hoa,2,45000,90000
TXN020,2025-02-20,CUST003,Gấu Bông AR,Thú Nhồi Bông,1,120000,120000
TXN021,2025-02-22,CUST013,Socola Virtual Box,Socola,1,65000,65000
TXN021,2025-02-22,CUST013,Thiệp Valentine,Thiệp,1,30000,30000
TXN021,2025-02-22,CUST013,Hoa Hồng Virtual,Hoa,1,45000,45000
TXN022,2025-02-25,CUST006,Bóng Bay Virtual,Trang Trí,10,15000,150000
TXN022,2025-02-25,CUST006,Pháo Hoa 3D Effect,Hiệu Ứng,2,35000,70000
TXN023,2025-03-01,CUST014,Thiệp Chúc Mừng Sinh Nhật,Thiệp,1,25000,25000
TXN023,2025-03-01,CUST014,Hoa Hồng Virtual,Hoa,1,45000,45000
TXN024,2025-03-05,CUST007,Gấu Bông AR,Thú Nhồi Bông,1,120000,120000
TXN024,2025-03-05,CUST007,Socola Virtual Box,Socola,1,65000,65000
TXN024,2025-03-05,CUST007,Hoa Hồng Virtual,Hoa,2,45000,90000
TXN025,2025-03-08,CUST015,Nhẫn AR Magic,Phụ Kiện,1,150000,150000
TXN025,2025-03-08,CUST015,Hoa Hồng Virtual,Hoa,1,45000,45000
TXN025,2025-03-08,CUST015,Thiệp Valentine,Thiệp,1,30000,30000
TXN026,2025-03-10,CUST008,Pháo Hoa 3D Effect,Hiệu Ứng,1,35000,35000
TXN026,2025-03-10,CUST008,Bóng Bay Virtual,Trang Trí,4,15000,60000
TXN027,2025-03-12,CUST016,Hoa Hồng Virtual,Hoa,1,45000,45000
TXN027,2025-03-12,CUST016,Thiệp Chúc Mừng Sinh Nhật,Thiệp,1,25000,25000
TXN027,2025-03-12,CUST016,Socola Virtual Box,Socola,1,65000,65000
TXN028,2025-03-15,CUST009,Gấu Bông AR,Thú Nhồi Bông,1,120000,120000
TXN028,2025-03-15,CUST009,Vương Miện AR,Phụ Kiện,1,85000,85000
TXN029,2025-03-18,CUST017,Thiệp Valentine,Thiệp,2,30000,60000
TXN029,2025-03-18,CUST017,Hoa Hồng Virtual,Hoa,2,45000,90000
TXN030,2025-03-20,CUST010,Socola Virtual Box,Socola,1,65000,65000
TXN030,2025-03-20,CUST010,Pháo Hoa 3D Effect,Hiệu Ứng,1,35000,35000
TXN030,2025-03-20,CUST010,Hoa Hồng Virtual,Hoa,1,45000,45000
